condition,t_pulse,seed,dstar,flip_time,acc_final,rule,param,stop,acc
STNO_FULL,500,2,1,1281,1,FIXED,3600,3600,1
STNO_FULL,500,2,1,1281,1,FIXED,4200,4200,1
STNO_FULL,500,2,1,1281,1,FIXED,4800,4800,1
STNO_FULL,500,2,1,1281,1,FIXED,5400,5400,1
STNO_FULL,500,2,1,1281,1,FIXED,6000,6000,1
STNO_FULL,500,2,1,1281,1,FIXED,6600,6600,1
STNO_FULL,500,2,1,1281,1,FIXED,7200,7200,1
STNO_FULL,500,2,1,1281,1,FIXED,7800,7800,1
STNO_FULL,500,2,1,1281,1,FIXED,8400,8400,1
STNO_FULL,500,2,1,1281,1,FIXED,9000,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_P,0.5,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,3,-1,1217,1,DOUBT_U,0.5,9000,1
STNO_FULL,500,3,-1,1217,1,CONV,0.0002,778,0
STNO_FULL,500,3,-1,1217,1,CONV,0.0005,772,0
STNO_FULL,500,3,-1,1217,1,CONV,0.001,762,0
STNO_FULL,500,3,-1,1217,1,FIXED,600,600,0
STNO_FULL,500,3,-1,1217,1,FIXED,1200,1200,0
STNO_FULL,500,3,-1,1217,1,FIXED,1800,1800,1
STNO_FULL,500,3,-1,1217,1,FIXED,2400,2400,1
STNO_FULL,500,3,-1,1217,1,FIXED,3000,3000,1
STNO_FULL,500,3,-1,1217,1,FIXED,3600,3600,1
STNO_FULL,500,3,-1,1217,1,FIXED,4200,4200,1
STNO_FULL,500,3,-1,1217,1,FIXED,4800,4800,1
STNO_FULL,500,3,-1,1217,1,FIXED,5400,5400,1
STNO_FULL,500,3,-1,1217,1,FIXED,6000,6000,1
STNO_FULL,500,3,-1,1217,1,FIXED,6600,6600,1
STNO_FULL,500,3,-1,1217,1,FIXED,7200,7200,1
STNO_FULL,500,3,-1,1217,1,FIXED,7800,7800,1
STNO_FULL,500,3,-1,1217,1,FIXED,8400,8400,1
STNO_FULL,500,3,-1,1217,1,FIXED,9000,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_P,0.5,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,4,1,1421,1,DOUBT_U,0.5,9000,1
STNO_FULL,500,4,1,1421,1,CONV,0.0002,795,0
STNO_FULL,500,4,1,1421,1,CONV,0.0005,790,0
STNO_FULL,500,4,1,1421,1,CONV,0.001,781,0
STNO_FULL,500,4,1,1421,1,FIXED,600,600,0
STNO_FULL,500,4,1,1421,1,FIXED,1200,1200,0
STNO_FULL,500,4,1,1421,1,FIXED,1800,1800,1
STNO_FULL,500,4,1,1421,1,FIXED,2400,2400,1
STNO_FULL,500,4,1,1421,1,FIXED,3000,3000,1
STNO_FULL,500,4,1,1421,1,FIXED,3600,3600,1
STNO_FULL,500,4,1,1421,1,FIXED,4200,4200,1
STNO_FULL,500,4,1,1421,1,FIXED,4800,4800,1
STNO_FULL,500,4,1,1421,1,FIXED,5400,5400,1
STNO_FULL,500,4,1,1421,1,FIXED,6000,6000,1
STNO_FULL,500,4,1,1421,1,FIXED,6600,6600,1
STNO_FULL,500,4,1,1421,1,FIXED,7200,7200,1
STNO_FULL,500,4,1,1421,1,FIXED,7800,7800,1
STNO_FULL,500,4,1,1421,1,FIXED,8400,8400,1
STNO_FULL,500,4,1,1421,1,FIXED,9000,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_P,0.5,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,5,-1,1188,1,DOUBT_U,0.5,9000,1
STNO_FULL,500,5,-1,1188,1,CONV,0.0002,766,0
STNO_FULL,500,5,-1,1188,1,CONV,0.0005,760,0
STNO_FULL,500,5,-1,1188,1,CONV,0.001,749,0
STNO_FULL,500,5,-1,1188,1,FIXED,600,600,0
STNO_FULL,500,5,-1,1188,1,FIXED,1200,1200,1
STNO_FULL,500,5,-1,1188,1,FIXED,1800,1800,1
STNO_FULL,500,5,-1,1188,1,FIXED,2400,2400,1
STNO_FULL,500,5,-1,1188,1,FIXED,3000,3000,1
STNO_FULL,500,5,-1,1188,1,FIXED,3600,3600,1
STNO_FULL,500,5,-1,1188,1,FIXED,4200,4200,1
STNO_FULL,500,5,-1,1188,1,FIXED,4800,4800,1
STNO_FULL,500,5,-1,1188,1,FIXED,5400,5400,1
STNO_FULL,500,5,-1,1188,1,FIXED,6000,6000,1
STNO_FULL,500,5,-1,1188,1,FIXED,6600,6600,1
STNO_FULL,500,5,-1,1188,1,FIXED,7200,7200,1
STNO_FULL,500,5,-1,1188,1,FIXED,7800,7800,1
STNO_FULL,500,5,-1,1188,1,FIXED,8400,8400,1
STNO_FULL,500,5,-1,1188,1,FIXED,9000,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_P,0.5,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,6,-1,1254,1,DOUBT_U,0.5,9000,1
STNO_FULL,500,6,-1,1254,1,CONV,0.0002,791,0
STNO_FULL,500,6,-1,1254,1,CONV,0.0005,785,0
STNO_FULL,500,6,-1,1254,1,CONV,0.001,774,0
STNO_FULL,500,6,-1,1254,1,FIXED,600,600,0
STNO_FULL,500,6,-1,1254,1,FIXED,1200,1200,0
STNO_FULL,500,6,-1,1254,1,FIXED,1800,1800,1
STNO_FULL,500,6,-1,1254,1,FIXED,2400,2400,1
STNO_FULL,500,6,-1,1254,1,FIXED,3000,3000,1
STNO_FULL,500,6,-1,1254,1,FIXED,3600,3600,1
STNO_FULL,500,6,-1,1254,1,FIXED,4200,4200,1
STNO_FULL,500,6,-1,1254,1,FIXED,4800,4800,1
STNO_FULL,500,6,-1,1254,1,FIXED,5400,5400,1
STNO_FULL,500,6,-1,1254,1,FIXED,6000,6000,1
STNO_FULL,500,6,-1,1254,1,FIXED,6600,6600,1
STNO_FULL,500,6,-1,1254,1,FIXED,7200,7200,1
STNO_FULL,500,6,-1,1254,1,FIXED,7800,7800,1
STNO_FULL,500,6,-1,1254,1,FIXED,8400,8400,1
STNO_FULL,500,6,-1,1254,1,FIXED,9000,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_P,0.5,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,7,-1,1342,1,DOUBT_U,0.5,9000,1
